"","fossil","oil","power","climate","people","sea","video","ice","age","humans","change","science","water","agree","scientists","real","stossel","natural","earth","global","warming","solar","human","truth","carbon","atmosphere","heat","gas","increase","levels","john","planet","life","money","government","time","ocean","temperature","cold","control","air","energy","level","wrong","weather","tax","green","scientist","scientific","sun"
"planet",22,31,20,173,102,15,13,65,34,56,130,53,50,28,54,40,17,30,87,100,138,31,43,12,46,49,39,33,36,38,23,411,54,46,19,47,25,45,24,25,37,37,13,23,37,8,32,15,28,33
"life",24,23,14,90,60,18,8,37,18,36,72,26,31,11,29,24,10,24,80,59,60,19,38,10,58,38,23,28,36,27,10,54,255,24,11,39,26,25,18,17,23,32,19,20,20,3,21,14,11,15
"money",29,45,47,198,146,14,19,32,16,17,169,52,33,25,79,49,18,16,47,108,100,26,16,26,35,17,15,24,16,15,18,46,24,563,65,48,10,19,17,33,21,53,5,22,25,58,38,34,20,12
"government",22,17,26,110,73,9,8,23,13,9,98,25,14,18,46,26,10,12,19,64,50,16,10,14,26,10,7,15,13,5,13,19,11,65,252,19,2,7,9,32,11,32,7,10,14,36,19,20,11,4
"time",38,35,21,146,102,42,18,69,38,41,120,58,62,21,58,39,17,31,94,96,95,31,37,31,40,41,40,25,33,35,22,47,39,48,19,390,26,51,31,20,25,45,34,24,34,16,29,26,35,35
"ocean",15,11,8,67,43,29,8,48,9,12,55,21,55,11,21,16,9,17,30,44,54,12,17,10,22,26,22,16,23,35,12,25,26,10,2,26,156,29,20,7,18,13,21,13,26,4,9,12,13,12
"temperature",22,16,11,107,54,30,13,67,31,20,93,39,41,12,36,26,16,32,65,95,88,24,26,11,30,39,40,24,57,28,16,45,25,19,7,51,29,260,29,13,25,24,18,11,33,5,14,18,23,18
"cold",20,13,6,83,64,16,11,41,23,15,71,24,29,8,19,19,14,18,41,56,74,18,18,12,17,25,78,11,23,13,11,24,18,17,9,31,20,29,191,9,13,18,13,9,37,6,11,13,16,15
"control",9,13,19,114,55,4,4,23,12,18,79,26,21,11,13,28,3,21,32,50,44,11,17,14,19,14,11,12,9,5,6,25,17,33,32,20,7,13,9,214,11,19,5,7,28,12,11,10,9,11
"air",18,20,17,69,57,13,5,23,5,20,57,28,54,7,15,13,6,16,47,41,47,13,27,8,35,33,26,29,27,23,8,37,23,21,11,25,18,25,13,11,170,19,12,7,15,9,13,11,17,15
"energy",66,45,50,93,64,11,10,33,14,15,84,30,35,15,43,33,12,23,48,67,58,70,32,9,44,31,32,37,33,15,16,37,32,53,32,45,13,24,18,19,19,261,11,22,14,23,57,15,18,21
"level",12,6,6,50,39,95,5,37,11,17,41,19,45,4,18,12,4,13,25,30,36,7,16,5,18,22,11,16,24,31,8,13,19,5,7,34,21,18,13,5,12,11,160,8,14,9,11,2,7,6
"wrong",15,13,10,85,39,17,10,21,8,12,70,37,10,11,38,22,20,16,31,38,33,12,13,15,17,11,15,7,11,16,16,23,20,22,10,24,13,11,9,7,7,22,8,215,15,6,7,17,22,6
"weather",19,16,14,140,67,25,11,41,18,23,112,36,29,12,35,28,14,18,47,77,75,12,28,24,23,21,32,10,21,18,12,37,20,25,14,34,26,33,37,28,15,14,14,15,263,6,14,14,27,18
"tax",18,16,16,59,42,5,4,10,8,3,54,14,13,8,23,19,8,7,15,39,32,18,7,8,41,10,5,10,10,6,9,8,3,58,36,16,4,5,6,12,9,23,9,6,6,163,18,10,4,5
"green",23,16,21,75,45,10,7,29,12,14,58,25,19,9,25,17,10,12,37,48,41,18,19,5,25,21,16,20,33,16,10,32,21,38,19,29,9,14,11,11,13,57,11,7,14,18,193,9,11,12
"scientist",16,17,6,87,45,6,15,18,9,14,65,49,19,27,48,32,17,16,28,52,57,11,15,15,20,18,18,6,15,7,19,15,14,34,20,26,12,18,13,10,11,15,2,17,14,10,9,204,29,11
"scientific",29,20,15,101,49,11,13,28,16,22,85,84,27,22,64,38,16,16,45,65,64,14,36,14,16,29,17,11,17,20,22,28,11,20,11,35,13,23,16,9,17,18,7,22,27,4,11,29,204,16
"sun",12,16,6,62,39,8,5,33,17,19,48,24,16,3,17,17,7,17,69,44,55,36,21,10,17,29,29,12,16,15,13,33,15,12,4,35,12,18,15,11,15,21,6,6,18,5,12,11,16,173
