"","climate","change","real","government","people","science","global","warming","natural","humans","lot","planet","heat","water","energy","fossil","carbon","atmosphere","greenhouse","gas","levels","money","ice","wrong","earth","plants","video","scientists","life","time","data","green","sea","weather","sun","exxon","oil","scientific","companies","human","age","temperature","lie","nuclear","power","fuels","evidence","emissions","true","solar"
"time",219,179,66,30,134,74,120,134,45,73,28,81,35,52,57,37,49,52,35,29,49,36,104,34,132,41,58,64,65,529,42,41,38,38,38,32,46,37,26,52,75,58,26,22,37,28,29,38,31,36
"data",126,94,39,17,56,66,60,76,17,17,13,38,11,25,22,13,29,24,14,16,29,16,44,24,40,14,25,49,12,42,229,25,18,28,11,14,25,40,10,20,25,38,19,5,11,12,34,13,19,12
"green",137,111,33,30,75,43,69,66,24,34,22,39,22,31,75,34,50,31,20,34,23,27,33,17,59,33,40,33,33,41,25,320,19,18,18,17,38,20,23,28,22,20,22,21,20,28,16,33,17,26
"sea",113,94,30,15,57,31,70,74,29,26,16,35,22,54,26,23,21,23,24,24,114,15,91,18,55,23,22,28,32,38,18,19,262,15,14,9,32,15,11,28,36,35,14,7,13,16,12,20,20,14
"weather",146,118,39,15,60,34,58,66,26,28,9,32,19,23,20,17,23,21,12,17,20,18,31,17,49,12,21,33,21,38,28,18,15,239,25,6,15,17,8,19,15,21,18,5,17,11,7,15,19,13
"sun",121,94,31,12,48,30,57,65,27,40,9,46,37,34,37,22,26,39,30,18,25,14,46,10,89,24,15,22,17,38,11,18,14,25,215,6,17,10,6,26,31,28,15,13,12,18,12,9,9,34
"exxon",110,99,23,9,45,43,53,62,8,17,8,30,10,8,27,33,21,13,20,16,12,32,20,19,28,6,54,60,10,32,14,17,9,6,6,358,57,18,27,16,13,14,19,2,10,24,15,14,13,6
"oil",186,163,51,26,105,49,85,86,30,36,25,35,15,44,72,59,44,19,21,63,31,39,41,23,52,20,46,52,35,46,25,38,32,15,17,57,469,32,156,20,27,25,23,25,42,48,22,21,24,31
"scientific",145,122,46,19,69,95,79,80,21,33,16,39,15,20,25,19,16,24,23,18,16,25,28,31,44,12,32,58,31,37,40,20,15,17,10,18,32,282,20,38,22,28,24,5,16,12,58,17,33,14
"companies",119,102,29,19,87,34,46,43,18,24,11,39,4,19,54,43,26,11,14,26,15,45,20,14,38,8,28,28,26,26,10,23,11,8,6,27,156,20,307,13,14,14,22,12,27,37,16,21,13,14
"human",198,155,44,20,78,49,104,114,64,64,10,73,23,33,31,33,32,52,31,21,27,22,37,17,76,25,34,40,55,52,20,28,28,19,26,16,20,38,13,319,33,27,17,8,16,24,30,36,12,18
"age",156,117,41,15,46,45,105,126,34,46,9,54,22,34,20,26,30,35,26,21,42,20,269,21,95,17,24,45,32,75,25,22,36,15,31,13,27,22,14,33,311,41,16,10,13,21,17,9,14,22
"temperature",131,101,40,17,58,52,120,108,40,38,20,59,37,45,35,39,34,57,46,35,45,22,71,26,96,20,13,57,26,58,38,20,35,21,28,14,25,28,14,27,41,299,21,10,12,29,37,18,22,14
"lie",194,174,37,16,74,48,96,92,17,24,10,32,10,19,17,27,19,15,13,12,18,24,27,13,41,11,43,33,24,26,19,22,14,18,15,19,23,24,22,17,16,21,360,4,12,16,21,7,25,15
"nuclear",56,47,14,16,36,8,32,35,18,10,19,16,7,20,96,41,20,11,9,20,11,9,13,7,28,37,10,9,11,22,5,21,7,5,13,2,25,5,12,8,10,10,4,221,80,38,4,19,7,53
"power",93,86,32,30,73,26,45,43,23,13,18,34,16,24,73,43,28,18,15,25,18,41,22,11,36,42,18,19,25,37,11,20,13,17,12,10,42,16,27,16,13,12,12,80,257,35,7,23,13,58
"fuels",120,110,22,12,66,26,55,66,31,32,20,44,16,29,77,276,31,33,34,23,19,22,30,16,58,27,29,40,21,28,12,28,16,11,18,24,48,12,37,24,21,29,16,38,35,297,11,24,13,35
"evidence",147,119,37,13,64,60,56,69,20,23,14,26,12,18,20,16,14,18,15,15,22,13,29,20,34,11,36,51,18,29,34,16,12,7,12,15,22,58,16,30,17,37,21,4,7,11,262,16,29,8
"emissions",106,89,23,15,43,28,65,61,24,38,16,43,21,23,48,34,75,37,41,46,23,10,19,15,45,23,33,27,29,38,13,33,20,15,9,14,21,17,21,36,9,18,7,19,23,24,16,231,9,17
"true",110,92,30,15,63,47,54,53,19,23,17,35,14,19,26,16,24,17,14,13,26,15,31,28,41,18,28,34,25,31,19,17,20,19,9,13,24,33,13,12,14,22,25,7,13,13,29,9,246,16
"solar",75,60,22,19,51,32,41,43,20,18,21,37,16,33,81,42,29,31,20,23,13,14,29,6,45,29,13,21,25,36,12,26,14,13,34,6,31,14,14,18,22,14,15,53,58,35,8,17,16,228
